Task name,Status,Priority,Account ID,Account Status,Hotel name,Country,City / Region,Priority score,Priority Level,ICP Fit,Rank bucket,Rank bucket reason,Why not top tier,Chain signal confidence,Ranking reason,Main Pain Hypothesis,Subject line,Source file
Lead outreach - Aston Business hotel,to do,2,acc_bd6cb35aa9a4,Prioritized,Aston Business hotel,SK,Bratislava,9.02,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Aston Business hotel: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - AUROOM - Spa Moments,to do,2,acc_81ac99f0b470,Prioritized,AUROOM - Spa Moments,SK,Bratislava,8.92,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,AUROOM - Spa Moments: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Roset Hotel & Residence,to do,2,acc_4e852edf2e61,Prioritized,Roset Hotel & Residence,SK,Bratislava,8.89,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Roset Hotel & Residence: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Danubia Gate,to do,2,acc_5bfecae0cadf,Prioritized,Hotel Danubia Gate,SK,Bratislava,8.88,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Danubia Gate: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Max Inn,to do,2,acc_22518ae32be2,Prioritized,Hotel Max Inn,SK,Bratislava,8.88,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Max Inn: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Modena,to do,2,acc_6cc9c32ca820,Prioritized,Hotel Modena,SK,Bratislava,8.87,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Modena: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Albrecht,to do,2,acc_0fce4dc7762e,Prioritized,Hotel Albrecht,SK,Bratislava,8.86,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Albrecht: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Boutique Apartments Possonium,to do,2,acc_d07e333a86d5,Prioritized,Boutique Apartments Possonium,SK,Bratislava,8.85,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Boutique Apartments Possonium: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Areál vodných športov Čunovo,to do,2,acc_5d3ca4836bd8,Prioritized,Areál vodných športov Čunovo,SK,Čunovo,8.84,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Areál vodných športov Čunovo: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Ponteo Activity Park Rusovce - hotel & reštaurácia,to do,2,acc_a1dccbe6b9f7,Prioritized,Ponteo Activity Park Rusovce - hotel & reštaurácia,SK,Rusovce,8.84,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Ponteo Activity Park Rusovce - hotel & reštaurácia: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - WX Hotel,to do,2,acc_a7e55f5db919,Prioritized,WX Hotel,SK,Devínska Nová Ves,8.83,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,WX Hotel: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Suza,to do,2,acc_44877618d28d,Prioritized,Suza,SK,Bratislava,8.82,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Suza: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Ubytovňa Siesta,to do,2,acc_3aabc2f13f65,Prioritized,Ubytovňa Siesta,SK,Bratislava,8.82,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Ubytovňa Siesta: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Tempus Club Garni Hotel,to do,2,acc_b5ba4decb916,Prioritized,Tempus Club Garni Hotel,SK,Bratislava,8.8,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Tempus Club Garni Hotel: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Melrose Apartments,to do,2,acc_accfdd3cf616,Prioritized,Melrose Apartments,SK,Petržalka,8.8,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Melrose Apartments: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - BAROK Hotel a Apartmany,to do,2,acc_3f7c8c4a5ecd,Prioritized,BAROK Hotel a Apartmany,SK,Bratislava-Petržalka,8.79,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,BAROK Hotel a Apartmany: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Penzion Zlatá Noha,to do,2,acc_47b622e34bc7,Prioritized,Penzion Zlatá Noha,SK,Nové Mesto,8.76,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Penzion Zlatá Noha: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - RAJ zdravia,to do,2,acc_c374d4b5c4be,Prioritized,RAJ zdravia,SK,Nové Mesto,8.76,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,RAJ zdravia: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Cabin Devín,to do,2,acc_f75d4fd04cc6,Prioritized,Cabin Devín,SK,Cabin-Devín,8.75,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Cabin Devín: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Marrol's Boutique Hotel,to do,2,acc_7f1a3c79f128,Prioritized,Marrol's Boutique Hotel,SK,Bratislava,8.73,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Marrol's Boutique Hotel: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Centrum Salvator,to do,2,acc_dd2b3962bb99,Prioritized,Centrum Salvator,SK,Bratislava,8.73,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Centrum Salvator: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Avance,to do,2,acc_e50b2fab57fa,Prioritized,Hotel Avance,SK,Bratislava,8.73,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Avance: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Felicity Garni Hotel,to do,2,acc_a82e1f2b4c91,Prioritized,Felicity Garni Hotel,SK,Bratislava,8.72,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Felicity Garni Hotel: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Lindner Hotel Bratislava - JDV by Hyatt,to do,2,acc_8ab377da3881,Prioritized,Lindner Hotel Bratislava - JDV by Hyatt,SK,Bratislava,8.72,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Lindner Hotel Bratislava - JDV by Hyatt: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - APLEND CITY Hotel Perugia,to do,2,acc_93467dcb7452,Prioritized,APLEND CITY Hotel Perugia,SK,Bratislava,8.72,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,APLEND CITY Hotel Perugia: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Antares,to do,2,acc_0ad418a2610b,Prioritized,Hotel Antares,SK,Bratislava,8.72,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Antares: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - PREMIUM Business Hotel Bratislava,to do,2,acc_01c9416a7058,Prioritized,PREMIUM Business Hotel Bratislava,SK,Bratislava,8.72,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,PREMIUM Business Hotel Bratislava: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Best Place Apartments,to do,2,acc_ebc53fbd2375,Prioritized,Best Place Apartments,SK,Bratislava,8.72,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Best Place Apartments: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Saffron,to do,2,acc_0b9e74ebf8ce,Prioritized,Hotel Saffron,SK,Bratislava,8.72,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Saffron: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Elisabeth Old Town hotel,to do,2,acc_4779c770c35e,Prioritized,Elisabeth Old Town hotel,SK,Bratislava,8.72,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Elisabeth Old Town hotel: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Blue Bratislava,to do,2,acc_4f77d75aefe8,Prioritized,Hotel Blue Bratislava,SK,Bratislava,8.72,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Blue Bratislava: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Nivy,to do,2,acc_0f270138c8f3,Prioritized,Hotel Nivy,SK,Bratislava,8.72,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Nivy: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Brix,to do,2,acc_af55ee9fbbf0,Prioritized,Hotel Brix,SK,Bratislava,8.71,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Brix: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Taxis,to do,2,acc_b46d93ac3322,Prioritized,Hotel Taxis,SK,Bratislava,8.71,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Taxis: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Mama's Design & Boutique Hotel,to do,2,acc_b15d968573c3,Prioritized,Mama's Design & Boutique Hotel,SK,Bratislava,8.71,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Mama's Design & Boutique Hotel: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - BlueBell Hotel,to do,2,acc_93742abaeb2f,Prioritized,BlueBell Hotel,SK,Bratislava,8.7,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,BlueBell Hotel: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Art Hotel William,to do,2,acc_5a7466dc0727,Prioritized,Art Hotel William,SK,Bratislava,8.7,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Art Hotel William: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - BIVIO,to do,2,acc_33a9ab4e3626,Prioritized,BIVIO,SK,Bratislava,8.69,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,BIVIO: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Apollo Hotel,to do,2,acc_3e8f6cfe4ff8,Prioritized,Apollo Hotel,SK,Ružinov,8.68,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Apollo Hotel: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Mamaison Residence Sulekova Bratislava,to do,2,acc_c3c3ea5d2881,Prioritized,Mamaison Residence Sulekova Bratislava,SK,Bratislava I,8.68,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Mamaison Residence Sulekova Bratislava: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Garni Hotel DOCK,to do,2,acc_fb5a5dbaf93e,Prioritized,Garni Hotel DOCK,SK,Bratislava,8.67,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Garni Hotel DOCK: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - BEIGLI Hotel & Garden,to do,2,acc_b32f0d89f8bc,Prioritized,BEIGLI Hotel & Garden,SK,Bratislava,8.67,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,BEIGLI Hotel & Garden: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Wilson Palace Bratislava,to do,2,acc_0a173f19a0df,Prioritized,Wilson Palace Bratislava,SK,Bratislava,8.67,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Wilson Palace Bratislava: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Charming & Cozy by Ambiente,to do,2,acc_5cb4c5a96023,Prioritized,Charming & Cozy by Ambiente,SK,Bratislava,8.67,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Charming & Cozy by Ambiente: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Hradná brána,to do,2,acc_1c6b327fbc4e,Prioritized,Hotel Hradná brána,SK,Devín,8.59,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Hradná brána: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Penzión Carpatia,to do,2,acc_fce7fd1aa5bb,Prioritized,Penzión Carpatia,SK,Záhorská Bystrica-Poľný mlyn,8.59,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Penzión Carpatia: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - WELLNESS HEAVEN Bratislava,to do,2,acc_dae3fab10f42,Prioritized,WELLNESS HEAVEN Bratislava,SK,Bratislava,8.58,High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,WELLNESS HEAVEN Bratislava: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Penzión Raki & Wellness,to do,,acc_52541fe673dc,Prioritized,Penzión Raki & Wellness,SK,Petržalka,8.47,Medium-High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Penzión Raki & Wellness: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Tatra,to do,,acc_4c7619fbe507,Prioritized,Hotel Tatra,SK,Staré Mesto,8.36,Medium-High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Tatra: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Radio Hotel Bratislava,to do,,acc_ea35090fcd2d,Prioritized,Radio Hotel Bratislava,SK,Bratislava,8.36,Medium-High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Radio Hotel Bratislava: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel SOREA REGIA Bratislava,to do,,acc_a600c213a119,Prioritized,Hotel SOREA REGIA Bratislava,SK,Staré Mesto,8.35,Medium-High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel SOREA REGIA Bratislava: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
"Lead outreach - Hotel Orlan ( hotel Ružinov , Hotels )",to do,,acc_edd654bd3405,Prioritized,"Hotel Orlan ( hotel Ružinov , Hotels )",SK,Ružinov,8.34,Medium-High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,"Hotel Orlan ( hotel Ružinov , Hotels ): krátky postreh",raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - ARCADIA BOUTIQUE HOTEL,to do,,acc_238cfebeea77,Prioritized,ARCADIA BOUTIQUE HOTEL,SK,Staré Mesto,8.2,Medium-High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,ARCADIA BOUTIQUE HOTEL: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Matyšák,to do,,acc_8e492462a172,Prioritized,Hotel Matyšák,SK,Staré Mesto,8.2,Medium-High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel Matyšák: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel West,to do,,acc_b7c7870f0b7f,Prioritized,Hotel West,SK,Nové Mesto,8.19,Medium-High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Hotel West: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Aviator Garni Hotel Bratislava,to do,,acc_61655874a689,Prioritized,Aviator Garni Hotel Bratislava,SK,Ružinov,8.19,Medium-High,Keep,A,top_ranked,top_tier_candidate,Low,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Aviator Garni Hotel Bratislava: krátky postreh,raw_bratislava region_2026-04-01_21-01-58-857.csv
