account_id,record_rank,source_file,hotel_name,hotel_name_normalized,country_code,city,state,street,website,website_domain,phone,category_name,hotel_type_class,geography_fit,independent_chain_class,ownership_type,review_score,reviews_count,icp_fit_score,icp_fit_class,non_icp_but_keep,fit_confidence,confidence_reason,review_bucket,owner_gm_decision_cycle_signal,contact_discovery_likelihood,ota_visibility_signal,website_quality,chain_signal_confidence,contact_gap_reason,contact_gap_count,why_not_top_tier,rank_bucket,rank_bucket_reason,ranking_reason,ranking_score,priority_score,priority_band,dedupe_status,duplicate_group_id,contact_duplicate_flag,review_flag,review_reason,manual_merge_candidate,source_url,shortlist_reason
acc_62161d3a01a3,1,Paris 100.csv,Hôtel Duo by Collection Vesper,h tel duo by collection vesper,FR,Paris,,11 Rue du Temple,http://www.duo-paris.com/,duo-paris.com,+33 1 42 72 72 22,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.5,756,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,81.4,8.14,Medium-High,unique,h tel duo by collection vesper|paris|11 rue du temple,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=H%C3%B4tel%20Duo%20by%20Collection%20Vesper&query_place_id=ChIJWU9CqB1u5kcR5P1F2SMoJmc,Medium-High | A | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
acc_fb56e7251eaf,12,Paris 100.csv,Kopster Hotel Paris Porte de Versailles,kopster hotel paris porte de versailles,FR,Paris,,1 Bd Victor,https://www.kopsterhotels.com/paris-porte-de-versailles,kopsterhotels.com,+33 1 87 44 29 61,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.3,295,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Weak,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,76.15,7.62,Medium-High,unique,kopster hotel paris porte de versailles|paris|1 bd victor,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Kopster%20Hotel%20Paris%20Porte%20de%20Versailles&query_place_id=ChIJw2lQ4zJx5kcROto8KHHxgVU,Medium-High | B | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
acc_40f47c240bc4,13,Paris 100.csv,Hôtel L de Lutèce - Notre Dame,h tel l de lut ce notre dame,FR,Paris,,65 Rue Saint-Louis en l'Île,http://www.paris-hotel-lutece.com/,paris-hotel-lutece.com,+33 1 43 26 23 52,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.6,255,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,76.13,7.61,Medium-High,unique,h tel l de lut ce notre dame|paris|65 rue saint louis en l le,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=H%C3%B4tel%20L%20de%20Lut%C3%A8ce%20-%20Notre%20Dame&query_place_id=ChIJOfF2N-Nx5kcR0iYVYvrOV-I,Medium-High | B | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
acc_69474a9131e7,14,Paris 100.csv,Hôtel de Sèvres,h tel de s vres,FR,Paris,,22 Rue de l'Abbé Grégoire,http://www.hoteldesevres.com/,hoteldesevres.com,+33 1 45 48 84 07,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.2,199,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,75.94,7.59,Medium-High,unique,h tel de s vres|paris|22 rue de l abb gr goire,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=H%C3%B4tel%20de%20S%C3%A8vres&query_place_id=ChIJjwnbWtJx5kcR2q9XbwtaX8o,Medium-High | B | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
acc_6db0cbf2e3b9,15,Paris 100.csv,Eden Lodge Paris,eden lodge paris,FR,Paris,,175 Rue de Charonne,http://www.edenlodgeparis.net/,edenlodgeparis.net,+33 1 43 56 73 24,Guest house,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.7,107,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,75.85,7.58,Medium-High,unique,eden lodge paris|paris|175 rue de charonne,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Eden%20Lodge%20Paris&query_place_id=ChIJhVRIjIpt5kcRXc_2Db5r-RE,Medium-High | B | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
acc_198cf9da8d89,16,Paris 100.csv,Hôtel de Londres Eiffel,h tel de londres eiffel,FR,Paris,,1 Rue Augereau,http://www.hotel-paris-londres-eiffel.com/,hotel-paris-londres-eiffel.com,+33 1 45 51 63 02,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.9,687,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,75.08,7.51,Medium-High,unique,h tel de londres eiffel|paris|1 rue augereau,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=H%C3%B4tel%20de%20Londres%20Eiffel&query_place_id=ChIJ2cPxkN9v5kcRlucUf90FMxQ,Medium-High | B | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
acc_e7f000bc298a,17,Paris 100.csv,Hotel Eiffel Seine,hotel eiffel seine,FR,Paris,,3 Bd de Grenelle,https://www.eiffelseinehotel.paris/,eiffelseinehotel.paris,+33 1 45 78 14 81,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.7,4405,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,75.04,7.5,Medium-High,unique,hotel eiffel seine|paris|3 bd de grenelle,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Hotel%20Eiffel%20Seine&query_place_id=ChIJncpa3Bxw5kcRRM5i5Jgmg9I,Medium-High | B | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
acc_131665dc080e,18,Paris 100.csv,Hidden Hotel,hidden hotel,FR,Paris,,28 Rue de l'Arc de Triomphe,http://www.hidden-hotel.com/,hidden-hotel.com,+33 1 40 55 03 57,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.7,671,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,75.04,7.5,Medium-High,unique,hidden hotel|paris|28 rue de l arc de triomphe,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Hidden%20Hotel&query_place_id=ChIJnwxRLJNv5kcRPB8QqpUwfPQ,Medium-High | B | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
acc_a319be5bf0a9,19,Paris 100.csv,Britannique Hotel - Paris Centre,britannique hotel paris centre,FR,Paris,,20 Av. Victoria,https://hotel-britannique.fr/,hotel-britannique.fr,+33 1 42 33 74 59,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.6,1282,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,75.02,7.5,Medium-High,unique,britannique hotel paris centre|paris|20 av victoria,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Britannique%20Hotel%20-%20Paris%20Centre&query_place_id=ChIJ-4Siox9u5kcRm9vM6DcMXyU,Medium-High | B | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
acc_31845632d205,20,Paris 100.csv,Hotel Champerret Heliopolis,hotel champerret heliopolis,FR,Paris,,13 Rue d'Héliopolis,http://www.champerret-heliopolis-paris-hotel.com/,champerret-heliopolis-paris-hotel.com,+33 1 47 64 92 56,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.6,557,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,75.02,7.5,Medium-High,unique,hotel champerret heliopolis|paris|13 rue d h liopolis,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Hotel%20Champerret%20Heliopolis&query_place_id=ChIJVb7Y_ZBv5kcRN_df8bR4GgI,Medium-High | B | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
acc_f2191f40ef3a,21,Paris 100.csv,Hotel Motel One Paris-Porte Dorée,hotel motel one paris porte dor e,FR,Paris,,295 Av. Daumesnil,https://www.motel-one.com/hotels/paris/hotel-paris-porte-doree/,motel-one.com,+33 1 73 10 92 00,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.5,2212,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Weak,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,75.0,7.5,Medium-High,unique,hotel motel one paris porte dor e|paris|295 av daumesnil,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Hotel%20Motel%20One%20Paris-Porte%20Dor%C3%A9e&query_place_id=ChIJ9xJDqopy5kcRTZ7Yq12CwEs,Medium-High | B | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
acc_39e143dc8358,22,Paris 100.csv,TOO Hotel,too hotel,FR,Paris,,65 Rue Bruneseau,http://www.toohotel.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,toohotel.com,+33 1 78 90 79 90,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.5,1435,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Basic,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,75.0,7.5,Medium-High,unique,too hotel|paris|65 rue bruneseau,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=TOO%20Hotel&query_place_id=ChIJ-QCHeRBz5kcRYmCWcv3A0zY,Medium-High | B | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
acc_4bbe2c516627,23,Paris 100.csv,SO/ PARIS,so paris,FR,Paris,,10 Rue Agrippa d'Aubigné,https://so-hotels.com/en/paris/?utm_source=google&utm_medium=organic&utm_campaign=gmb-website&utm_content=website_button,so-hotels.com,+33 1 78 90 74 00,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.5,1279,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Weak,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,75.0,7.5,Medium-High,unique,so paris|paris|10 rue agrippa d aubign,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=SO%2F%20PARIS&query_place_id=ChIJF--ICnFx5kcRp5l7I78w3LM,Medium-High | B | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
acc_3cd958e632f7,24,Paris 100.csv,Hôtel La Petite Rosa,h tel la petite rosa,FR,Paris,,20 Bis Rue Dugommier,http://www.hotel-lapetiterosa.fr/,hotel-lapetiterosa.fr,+33 1 43 43 47 73,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.5,1077,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,75.0,7.5,Medium-High,unique,h tel la petite rosa|paris|20 bis rue dugommier,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=H%C3%B4tel%20La%20Petite%20Rosa&query_place_id=ChIJpVaqiWty5kcRtcAhPi1MfBw,Medium-High | B | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
acc_47f99bab4c06,25,Paris 100.csv,Hôtel De La Porte Dorée,h tel de la porte dor e,FR,Paris,,273 Av. Daumesnil,http://hoteldelaportedoree.com/,hoteldelaportedoree.com,+33 1 43 07 56 97,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.5,1031,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,75.0,7.5,Medium-High,unique,h tel de la porte dor e|paris|273 av daumesnil,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=H%C3%B4tel%20De%20La%20Porte%20Dor%C3%A9e&query_place_id=ChIJXUfMvmBy5kcRzMsyUnKO90E,Medium-High | B | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
acc_a234cb215a4b,26,Paris 100.csv,Agate Hotel,agate hotel,FR,Paris,,8 Cr de Vincennes,http://www.hotelagateparis.com/,hotelagateparis.com,+33 1 43 45 13 53,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.5,824,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,75.0,7.5,Medium-High,unique,agate hotel|paris|8 cr de vincennes,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Agate%20Hotel&query_place_id=ChIJa77JgXBy5kcRKnPSShrqCF8,Medium-High | B | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
acc_071f8f1d5738,27,Paris 100.csv,Hôtel Le Marquis by Inwood Hotels,h tel le marquis by inwood hotels,FR,Paris,,15 Rue Dupleix,http://www.lemarquisparis.com/,lemarquisparis.com,+33 1 43 06 31 50,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.5,650,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,75.0,7.5,Medium-High,unique,h tel le marquis by inwood hotels|paris|15 rue dupleix,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=H%C3%B4tel%20Le%20Marquis%20by%20Inwood%20Hotels&query_place_id=ChIJFSHRyRhw5kcRhQYlnB2SCqM,Medium-High | B | strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography
